text,actual_label,predicted_label,confidence
<USER> Thx Ops Agt Rich Westagard n Flight Att. Nancy @ DEN Airport.Held flight 1027 n even saved seat 4 Bus Select #CustomersFirst!,positive,negative,0.6338429
<USER> y'all are fast we already have our 5 winners! Congrats!!,positive,neutral,0.63284254
"<USER> they are all -pilots, FA and ground personnel doing a great job. Weather is to blame... Who do I talk to about that :)",positive,negative,0.63213134
<USER> thank you! My lost item was located at ORD and is being returned to me.,positive,negative,0.63106424
<USER> to offer service from Daytona Beach to New York - Albany Business Review <URL>,positive,negative,0.63093215
<USER> airlines 1st &amp; only time I ever fly your airline! What a disgrace. <USER> I should've listened to your tweet! #HORRIBLE,negative,positive,0.6305166
"<USER> come on, reopen 1285 at ORD and clear your growing DC backlog",negative,neutral,0.6295503
<USER> it would be super if you paid as much attention to actual fliers as you do to credit card holders.,negative,neutral,0.62487817
<USER> you know what'd be beyond awesome? A pair of tickets to the <USER> show in ATL. A girl can dream #DestinationDragons,positive,neutral,0.6246315
<USER> aren't you glad this isn't you RT <USER>: Bet these birds wish they'd flown south for the #winter... <URL>,neutral,positive,0.6178229
<USER> would you say a delay is more likely? Thanks so much.,positive,negative,0.6177529
"<USER> $192 rndtrp 4/30-5/5 ""<USER>: RT <USER>: If you're trying to make travel reservations for Vegas on May 2nd it's too Late Flight""",neutral,negative,0.61612135
<USER> … But friendly efficient air attendants in coach #UA992 <URL>,negative,positive,0.61594474
BUT <USER> just re-booked to BOS; UGGH!! now 3 hour bus to WMASS home. Could have flown to BDL &amp; back to DC in same time. #unitedairlines,negative,positive,0.61264706
<USER> has no customer service via phone or in person. Just a stone wall with a giant middle finger painted on it.,negative,neutral,0.6115446
<USER> Indeed. It was not 😉.,neutral,negative,0.6103764
<USER> well our plane just landed at the international terminal... so they announced the 10 pm new time.,negative,neutral,0.61035126
"<USER> I ""heart"" Southwest but those commercials aimed to satisfy a nano-smattering of travelers to few destinations.",negative,neutral,0.61002004
<USER> Man of steel flies to more cities though...and with more frequency too.,negative,positive,0.6087058
<USER> This link in your tweet goes to someone's internal email -&gt; <URL> Probably one of your 3rd party IT contracts,neutral,negative,0.6042883
<USER> was in the air. Just DMd you,neutral,negative,0.60003316
<USER> is #ELP Friendly. #flyerfriendly #united #emb145 #elpaso <URL>,positive,neutral,0.5988793
“<USER>: <USER> We appreciate the #shoutout for Roberto. DM your confirmation code so we can forward your kind words.” sent,neutral,positive,0.59766793
<USER> <USER> 9 empty seats open in 1st on AA1061. No upgrades for a U.S. Gold member? Would love consistent policies.,negative,neutral,0.59667057
<USER> JT thanks for your help I’ll complete the form once we are back home,positive,negative,0.5961592
<USER> 77min still on hold to chg award travel #sorrynotsorry,negative,neutral,0.5944527
"<USER> in the process of purchasing ticket, when prices changed. unbelievable. #RipOffs #PriceDiscrimination",negative,neutral,0.59416765
<USER> I'm miserable on your Orlando to Vegas nonstop right now. How big must a guest be for u to require 2 seats? I'm in 1A btw.,negative,neutral,0.59200454
<USER> Thanks! Are they really open 3.30 am - 7 pm every day? Any way to check they are open before going all the way there? Thanks.,positive,neutral,0.59087926
<USER> can't change it. True blue points and I can't get to a phone,negative,positive,0.58678436
<USER> the saga continues..,neutral,negative,0.5851683
<USER> changed our flight 6 times in 1 trip. Bumped to <USER> now &amp; having great experience. Never. Flying. US Air again. Never.,negative,positive,0.5845805
<USER> <USER> I'd like to see Markie too.,neutral,positive,0.58053553
"<USER> Well, I didn't…but NOW I DO! :-D",positive,neutral,0.57953566
<USER> in fact he received my boarding pass,neutral,positive,0.5785873
<USER> ok. I just submitted. Thanks for the opportunity to give feedback.,positive,neutral,0.57801944
<USER> I can legitimately say that I would have rather driven cross country than flown on US Airways.,negative,neutral,0.5755243
<USER> I have a voucher w swa that expires 4/10. An extension would be a lot of luv,negative,positive,0.57179284
<USER> Hey SWAir- a very tortured boarding on flight 1971 due to one gate agent having to board assisted folks one at a time.,negative,positive,0.57177645
"<USER> also. Emergency exit seats. 6'2"" and that's a huge win.",positive,neutral,0.568088
<USER> Can you advise on what's happening with departure delays from CLT?,negative,neutral,0.5675871
"<USER> Don't worry, you will! :-)",neutral,negative,0.564754
<USER> thanks for not getting my BusinessFirst priority tagged bag onto my connecting flight at EWR despite a 2+ hour layover. Nice job,positive,negative,0.56464684
"<USER> Yo, could that be a catering truck before mine eyes? Unmoving? <URL>",neutral,positive,0.564332
"<USER> me again :) you don't have ABC on Inflight TV, do you? (If so, what channel? #SharkTank is on!)",neutral,negative,0.5616814
<USER> !!!!! YAAYY!!! YAY PROM!!!! <URL>,neutral,positive,0.5616186
<USER> Why do airlines change ticket prices in the middle of the day #annoyed,negative,neutral,0.5609492
<USER> thnkx bt dont help now we will need to go WAY out of OUR way to get where we NEED to be for the $ u charge this sux #neveragain,negative,neutral,0.5607974
<USER> Hey any chance you have an update on Flight 99 Hartford to D.C.?,neutral,negative,0.5605315
"<USER>, was far less painful than what was coming from Avis. 💙",positive,negative,0.5595973
<USER> thanks but still annoying. Especially if I miss my flight. 😉 Can I tweet at the TSA??,negative,neutral,0.55935115
<USER> thank you for handling this for me. Glad Southwest cares about what it's flyers think!,positive,negative,0.5583655
<USER> my flt is at 7a tom. I have now rec'd notification that I'm going out from some other airport,negative,neutral,0.55828345
<USER> any idea what's going on at terminal five at JFK? Seems to be zero traffic movement,negative,neutral,0.55489445
"<USER> If you believe in keeping your customers happy, especially after a mistake was made on your part...",negative,positive,0.5543501
<USER>'s first-class #cockup <URL>,negative,positive,0.553519
<USER> What's your phone number? Customer service question.,neutral,negative,0.5526195
<USER> Jackpot! #legroom <URL>,positive,neutral,0.55221575
<USER> Like <URL>,positive,neutral,0.5513575
<USER> that's it?!?!?,negative,neutral,0.5506857
<USER> I didn't get a message from you. I'll resend numbers.,negative,neutral,0.5484291
<USER> workin on it. Waiting on him to reply.,neutral,negative,0.5481095
<USER> once united's service levels reaches those of Etihad or lets be more realistically Lufthansa then ill consider it again,negative,neutral,0.54803705
<USER> Why do I have to pay $ 17 for wifi with an international business ticket? #pennypincher,negative,neutral,0.54716307
<USER> and the fact that we were treated disrespectfully and lied to by members of your airline that claims to strive for the best,negative,positive,0.5470638
<USER> can't wait!!! 787!!! <USER> <URL>,positive,neutral,0.5462031
<USER> momma I made it! 😁😁😁,neutral,positive,0.5445687
"<USER> <USER> <USER> all are great , but I have to go with #CarrieUnderwood 😍👌",neutral,positive,0.54445684
"<USER> Would love to DM you, but my Twitter app says you're not following me and I can't.",neutral,negative,0.5443756
"<USER> no, but we're on the flight leaving from Boston to Seattle right now. :) flight 597",positive,negative,0.54369533
<USER> Hi. Get error msg when trying to check in on line. States: wrong pass#. Tickets rcvd from AA due to training in DFW. U know Y?,negative,neutral,0.54139036
"<USER> also, can you explain why, when I checked in, on the US Airways site, &amp; picked ""Standby for 1st"" I was not put on the list?",neutral,negative,0.53809327
<USER> thank you for the reply. I emailed your customer care department about my experience.,negative,positive,0.537099
"<USER> thank you for Cancelled Flighting my flight, last minute of course, to #GIS2015. I'm now missing one full day of my trip thanks to this!",negative,positive,0.5355564
<USER> I would go for 3rd time to Jamaica to volunteer w/ at risk youth #flyitforward #dc #stpatricksfoundation #rotary,neutral,negative,0.5312891
"<USER> - routing a person from Houston to Newark, NJ and then to SFO is not acceptable.",negative,neutral,0.53058773
<USER> Thanks for doing that but now it's telling me to go to the airport and check in with an agent-what's up? <URL>,neutral,negative,0.5295341
"<USER> btw, her name was Samantha and she won over everyone on the flight",positive,negative,0.5287144
<USER> flt 1820 2rsw could have extended the courtsey of waiting 2min 4 10 of us.... gates closed in r faces. Ur fired,negative,neutral,0.52825934
<USER> Just followed you.,positive,neutral,0.5273498
<USER> with about 25 people trying to get on flights,neutral,negative,0.5258324
<USER> minutes to spare.,neutral,negative,0.5253544
"<USER> Hello SWA, Who is your POC for partnerships with nonprofit organizations in BWI area?",neutral,negative,0.5206062
<USER> - Apology accepted! #customerserviceWIN #itravelalot <URL>,positive,negative,0.51872087
<USER> LOVE IMAGINE DRAGONS SO MUCH I EOULD DIE IF I GOT TICKETS,positive,neutral,0.5181131
<USER> question all. When will I receive my yearly bonus point accumulation? I think it's around now but not sure. Thanks! :),neutral,negative,0.5177284
"<USER> Best airline name ever. Whenever I see it, I want to get on their plane to blue skies &amp; sea. (And they DELIVER on that promise)",positive,negative,0.51735044
<USER> <USER> <USER> Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,neutral,positive,0.516728
<USER> yes - tells me the only way to mod plans is to call the 4322 number.,neutral,negative,0.51586527
"<USER> bos to msp, msp to aus, aus to bos. Site doesn't seem to display fields for the middle trip when I add the 3rd.",negative,neutral,0.514227
"<USER> trying to change flight via DFW tomorrow, can't get thru on phone, long wait then cut off x2, can you help please?",negative,neutral,0.5138303
"<USER> could care more about their customer, if there is a reasonable request :(",negative,neutral,0.5113286
<USER> - kind of early but any idea when dates through the first week of sept will come available?,neutral,negative,0.51085943
<USER> flight was 2488 out of EWR STOP AT DALLAS THEN TO LA. I need to be in la tonight!,negative,neutral,0.50833815
"<USER> bet you wont honour them, like mine ey",neutral,positive,0.5082543
"<USER> y airline I fly with, but haven't seen anything like this yet!",negative,positive,0.5073481
"<USER> nope, they just announced we're headed back to the gate.",negative,positive,0.5069859
<USER> I want one!,positive,negative,0.5001882
<USER> LITERALLY just told me they'd rather have an empty seat than my mom get to come earlier &amp; take me to Dr. appointment. WOW,negative,neutral,0.5001195
<USER> just called and did it. Should have earlier because I'm being sent to DCA first and THEN to pvd. We may rent a car instead.,neutral,negative,0.49951547
<USER> <USER> well here we go,positive,neutral,0.49920067
<USER> No I got to Philly on Monday and got to my final destination South Carolina on Wednesday. Its not acceptable.,negative,neutral,0.4968287
"<USER> yes it is in Dulles and I need it delivered to the Embassy Suites in Herndon, VA. I'm still in Chicago from the fiasco in LAX",negative,neutral,0.49535096
<USER> booked the 8th.... Save me an emergency exit... Gotta stretch out,neutral,negative,0.49482659
<USER> ticks me off.,negative,neutral,0.49411377
<USER> you a bish,negative,neutral,0.4928582
<USER> on the plane. I was thoughtful enough to ask for it and got it; there are prob others that also deserved it,neutral,negative,0.49220273
<USER> I received a brochure in the mail touting all the benefits of the advantage card with usa now merged...baggage included,neutral,negative,0.4892089
<USER> will we be able to watch the Oscars on our flight tomorrow?,neutral,negative,0.48757154
<USER> today my family gets to experience #mosaic status w/ me! #LifeIsGood,positive,negative,0.48402387
<USER> I unfortunately didn't get her name :( she was not nice!,negative,neutral,0.48295063
<USER> Thanks to AA for the upgrade today and getting me on a new flight after my first one was Cancelled Flightled!,positive,negative,0.48072934
<USER> great. I just called your fucking phone number and she hung up on me,negative,positive,0.4795071
<USER> If you have well-priced flights to #Oahu - we could be best friends. <USER>,neutral,positive,0.47598448
<USER> would love to respond to link but supervisor tore ticket up and refused to give me names and hid her badge from me,negative,neutral,0.47500053
<USER> one last thing....United club crackers...nabisco?? Where are the Pepperidge Farms?,neutral,negative,0.47380123
<USER> yes he and all the princesses. Trying to get to the #glassslipperchallenge at WDW.,neutral,negative,0.4709519
"<USER> also during the run I was instructed to do, I shattered my computer. <URL>",negative,neutral,0.46541095
"<USER> nice 2 see U have a sense of humor. #3hourdelay Just want 2 B home but I'll settle for that beer. Once safely in the air, of course",negative,positive,0.45924783
<USER> Giants and Virgin America. A match made in heaven.,positive,negative,0.4590867
<USER> <USER> that totally sucks my cousin worked at PHL said <USER>,negative,positive,0.45159838
<USER> it looks like a mistake,neutral,positive,0.4456326
.<USER> just disappointed with the Flight Booking Problems process and add’l fees to sit together on a more crowded flight. Not impressed so far :-/.,neutral,negative,0.44046313
<USER> things happen it's ok just wish I was on the beach and not in the airport,positive,neutral,0.42192566
<USER> looks like Bellagio to me! Good luck people! See you at the show at Vinyl,positive,negative,0.41794765
<USER> get me outta here,negative,positive,0.41701305
<USER> #tbt every day.,positive,negative,0.41633508
<USER> all set. Figured it out at the baggage office!,neutral,negative,0.36691722
