text,actual_label,predicted_label
"<USER> I know. I’m sure you hear it all the time — don’t like the new seats. I’m a small guy, 5’ 6” and I feel the new planes are tight",negative,positive
<USER> Thank you.,neutral,positive
<USER> them and <USER>,negative,neutral
<USER> : Maybe You Should Drive #usairwaysfail,neutral,negative
<USER> such a bummer. But I understand it's a business deal. Thanks for answering me! Much less sad now.,neutral,negative
<USER> BUT you have received confirmation via email that you are confirmed and ticketed on this flight.,neutral,negative
"<USER> the motor that usually starts the engine is broke and <USER> ground crew failed to do it on time, per pilot #maintenance",neutral,negative
<USER> it can't be delivered. It has to be held there for me to cross the border to pick up. Please don't try to deliver.,neutral,negative
<USER> thanks for getting me rescheduled on a direct flight to NOLA tonight in 10 minutes--and hopefully an hour earlier getting there!,positive,negative
<USER> awesome. I flew yall Sat morning. Any way we can correct my bill ?,positive,neutral
<USER> same here. Would appreciate a follow so I can DM my info to figure out what I am supposed to do.,negative,neutral
<USER> lost bag on flight to Vegas. Now to El Paso. Going to Dallas love. Gate attendant said see if can coordinate to get it to Love,negative,positive
<USER> thanks for the canned reply.,negative,positive
<USER> great. I just called your fucking phone number and she hung up on me,negative,positive
<USER> are you hiring for flight attendants right now,neutral,negative
"<USER> don't worry, I'm gonna share with my row! 😁",neutral,negative
<USER> This is exactly why ill be flying AA from <USER> to Dallas! Only airline I trust!,positive,negative
<USER> booked the 8th.... Save me an emergency exit... Gotta stretch out,neutral,negative
LMAO “<USER>: Our fleet's on fleek. <URL>,positive,neutral
"<USER> I applied for a position in <USER> ,and I was wondering if you guys received my application.",neutral,positive
<USER> you're killing me now. :-) You got me! #smitten #trueblue,positive,negative
<USER> heard you are saving 30k a year on fuel not carrying around those skymall's #ripskymall,neutral,negative
"<USER> wind chill in Ithica -17 degrees, and for the trouble of losing my clothes they give me a t-shirt. I'll burn it for warmth. #united",negative,neutral
<USER> changed our flight 6 times in 1 trip. Bumped to <USER> now &amp; having great experience. Never. Flying. US Air again. Never.,negative,positive
"<USER> tell them to get on that, please.",negative,neutral
<USER> knows whats up! That #BlackHistoryMonth commercial. Just another thing to add to reasons why I fly with #SouthWestAirlines,positive,negative
<USER> me &amp; <USER> are best friends because of <USER>. Any chance we could get tickets to #DestinationDragons ?,positive,neutral
<USER> Thank you for the response. When I book I've tried my AA number and my US Airways number and each time it doesn't pick it up,neutral,negative
"<USER> I was under the impression when there is an 8 hour delay in your flight because of equipment failure, compensation is offered?",neutral,negative
<USER> on the plane. I was thoughtful enough to ask for it and got it; there are prob others that also deserved it,neutral,negative
"<USER> also, can you explain why, when I checked in, on the US Airways site, &amp; picked ""Standby for 1st"" I was not put on the list?",neutral,negative
<USER> really appreciate the great customer service... One of your service agents just hung up on me when asking legitimate questions,negative,positive
"Thank you. “<USER>: <USER> Customer Relations will review your concerns and contact you back directly, John.”",positive,negative
<USER> - keeping AA up in the Air! My crew chief cousin Alex Espinosa in DFW! <URL>,positive,neutral
<USER> yes please. Going to drive the 6 hours.,neutral,negative
.<USER> just disappointed with the Flight Booking Problems process and add’l fees to sit together on a more crowded flight. Not impressed so far :-/.,neutral,negative
<USER> Hey SWAir- a very tortured boarding on flight 1971 due to one gate agent having to board assisted folks one at a time.,negative,positive
"<USER> <USER> no, don't leave me!!!",neutral,negative
"<USER> strives to be 'Customer Centric' in everything they do - communications, advertising, customer journey, etc. #ANAmarketers",positive,negative
<USER> <USER> <USER> Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,neutral,positive
<USER> Stop trying to make #fleek happen! #PointsMe,neutral,negative
<USER> Hey any chance you have an update on Flight 99 Hartford to D.C.?,neutral,negative
<USER> Flight AAL65 declared state of emergency? Squawking 7700...,negative,neutral
<USER> I want one!,positive,negative
<USER> … But friendly efficient air attendants in coach #UA992 <URL>,negative,positive
<USER> this is why I fly <USER> ... Never have any issues,positive,negative
"<USER> captain ""we apologize for the delay, the company is looking for an open gate (glance starboard side, see 5 open gates)",neutral,negative
"<USER> Best airline name ever. Whenever I see it, I want to get on their plane to blue skies &amp; sea. (And they DELIVER on that promise)",positive,negative
<USER> LOVE IMAGINE DRAGONS SO MUCH I EOULD DIE IF I GOT TICKETS,positive,neutral
<USER> TA off site at #thelodge. Should be a fun day. <USER> <USER> <USER> <USER> <USER>,positive,neutral
<USER> thnkx bt dont help now we will need to go WAY out of OUR way to get where we NEED to be for the $ u charge this sux #neveragain,negative,neutral
"<USER> thank you! It's # 1875 from BWI, keep seeing different stats, from delayed to awaiting take off to delayed...",positive,negative
<USER> Just followed you.,positive,neutral
<USER> Well I did miss it. But gate agents had rebooked boarding pass waiting when I landed. Time for lunch &amp; a beverage. Easy cheesy,positive,negative
<USER> i sure will,negative,neutral
"<USER> extremely frustrating travel experience in Denver! Instead of landing in SEA on Saturday, now it's Monday afternoon!",negative,neutral
<USER> my flight to DFW from LIT on my way to PDX tomorrow was Cancelled Flighted. Can you help me?,neutral,negative
<USER> thanks! I expected a wait... Just not that long. :),negative,positive
<USER> - what is your policy regarding large-size passengers who cannot fit into a single coach class seat?,neutral,negative
<USER> still not in the air for deicing of plane. I'll miss connect but customer service was helpful.I'm hoping to catch the next flight,positive,negative
<USER> still waiting to see <USER> 😞,neutral,negative
"<USER> I had to travel to Savannah, GA, once again, on an airline I don't ""Luv"". When r u going to fly me to Savannah? Pleeeease!!!!",neutral,positive
"<USER> I will admit, you've been rather good to me over the years. You've still got me hooked. (for now!) Peace.",positive,negative
<USER> amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,negative,neutral
"<USER> #epicfail on connections in #Chicago today, extremely disappointed w/ unaccommodating customer service, rethinking loyalty 😐",neutral,negative
<USER> Very impressed so far. An app that's worth a damn and sms updates on my flight.,positive,negative
"<USER> yes, after landing at 930pm last night. Spoke to 10 baggage claim customer service reps. Finally spoke to one amazing ticket agent.",negative,positive
<USER> got it squared away. Someone picked up as soon as I tweeted. Should have tweeted sooner. 😉,positive,neutral
<USER> I just think it's weird to have mileage as 666,positive,neutral
<USER> with about 25 people trying to get on flights,neutral,negative
"<USER> no, but we're on the flight leaving from Boston to Seattle right now. :) flight 597",positive,negative
"<USER> yup we know, not your fault, just not ideal sittin for over an hour but as always your staff is great!",positive,negative
<USER> minutes to spare.,neutral,negative
"<USER> bos to msp, msp to aus, aus to bos. Site doesn't seem to display fields for the middle trip when I add the 3rd.",negative,neutral
"<USER> has getaway deals through May, from $59 one-way. Lots of cool cities <URL> #CheapFlights #FareCompare",neutral,positive
<USER> I'm trying to make a reservation with a &lt; 2 year old lap child. Don't see any option online. How do I proceed with reservation?,negative,neutral
<USER> Not blaming Jet Blue. This wasn't weather. Can't have planes in the air and runways a mess. That's a disaster waiting to happen.,neutral,negative
"<USER> I understand. Wonderful ""Miriam"" in customer service who was able to reroute me... Got any rental car discounts?",neutral,positive
<USER> flying tomorrow from mexico to US. Mileage tkts dont show 1k status. Help,negative,neutral
<USER> I don't think you should help him at all based on his behavior. The voucher and cot seem like enough lol 😃,neutral,positive
<USER> If you follow me I will DM you my phone # which you can call.,negative,neutral
